//Herodotus, Histories

label	text	sentence
Herodotus 1.0.1-1.0.45	texts/Herodotus_tokenized.cex	urn:cts:greekLit:tlg0016.tlg001.grc.tok:1.0.token1-1.0.token45
Herodotus 1.1.1-1.1.12	texts/Herodotus_tokenized.cex	urn:cts:greekLit:tlg0016.tlg001.grc.tok:1.1.token1-1.1.token12
Herodotus 1.1.13-1.1.58	texts/Herodotus_tokenized.cex	urn:cts:greekLit:tlg0016.tlg001.grc.tok:1.1.token13-1.1.token58
Herodotus 1.1.59-1.1.74		urn:cts:greekLit:tlg0016.tlg001.grc.tok:1.1.token59-1.1.token74
Herodotus 1.1.75-1.1.87	urn:cts:greekLit:tlg0016.tlg001.grc.tok:1.1.token75-1.1.token87
Herodotus 1.66.136-1.66.159 - Spartans at Tegea	texts/Herodotus_tokenized.cex	 urn:cts:greekLit:tlg0016.tlg001.grc.tok:1.66.token136-1.66.token159
Herodotus 1.66.160-1.66.183 - Spartans at Tegea	texts/Herodotus_tokenized.cex	 urn:cts:greekLit:tlg0016.tlg001.grc.tok:1.66.token160-1.66.token183



